date,price,district_id,lot1_surface,lot2_surface,lot3_surface,lot4_surface,lot5_surface,lots,type,surface,rooms,extra,extra_special,land_surface
2017-07-10,491000.0,69001,0.0,144.61,0.0,0.0,0.0,2,apartment,130.0,5,none,no_special,0.0
2017-07-12,1162000.0,69001,0.0,0.0,0.0,0.0,0.0,4,apartment,230.0,7,none,no_special,0.0
2017-07-03,176500.0,69009,0.0,0.0,0.0,0.0,0.0,2,apartment,64.0,4,none,no_special,0.0
2017-07-07,265000.0,69001,30.11,0.0,0.0,0.0,0.0,1,apartment,18.0,1,none,no_special,0.0
2017-07-07,265000.0,69001,0.0,30.11,0.0,0.0,0.0,3,apartment,34.0,1,none,no_special,0.0
2017-07-05,113000.0,69009,0.0,34.5,0.0,0.0,0.0,2,apartment,35.0,2,none,no_special,0.0
2017-07-07,665000.0,69002,0.0,0.0,0.0,0.0,0.0,2,apartment,114.0,4,none,no_special,0.0
2017-07-07,250000.0,69001,61.1,0.0,0.0,0.0,0.0,1,apartment,60.0,2,none,no_special,0.0
2017-07-10,208700.0,69009,0.0,0.0,0.0,0.0,0.0,2,apartment,65.0,3,none,no_special,0.0
2017-07-07,1480000.0,69005,0.0,0.0,0.0,0.0,0.0,1,apartment,216.0,9,none,no_special,0.0
2017-07-05,145000.0,69001,33.9,0.0,0.0,0.0,0.0,1,apartment,37.0,1,none,no_special,0.0
2017-07-04,368000.0,69002,0.0,96.5,0.0,0.0,0.0,2,apartment,99.0,3,none,no_special,0.0
2017-07-10,243000.0,69009,82.76,0.0,0.0,0.0,0.0,1,apartment,82.0,4,none,no_special,0.0
2017-07-06,325500.0,69004,0.0,0.0,79.21,0.0,0.0,4,apartment,76.0,4,none,no_special,0.0
2017-07-20,275960.0,69001,63.1,0.0,0.0,0.0,0.0,2,apartment,63.0,3,none,no_special,0.0
2017-07-17,219300.0,69004,46.2,0.0,0.0,0.0,0.0,1,apartment,30.0,1,none,no_special,0.0
2017-07-07,294000.0,69004,67.6,0.0,0.0,0.0,0.0,2,apartment,76.0,3,none,no_special,0.0
2017-07-05,110000.0,69005,26.88,0.0,0.0,0.0,0.0,1,apartment,20.0,1,none,no_special,0.0
2017-07-12,207000.0,69009,0.0,0.0,0.0,0.0,0.0,1,apartment,83.0,4,none,no_special,0.0
2017-07-12,138300.0,69009,0.0,0.0,0.0,0.0,0.0,1,apartment,42.0,2,none,no_special,0.0
2017-07-12,882880.0,69002,189.11,0.0,0.0,0.0,0.0,3,apartment,187.0,6,none,no_special,0.0
2017-07-17,194000.0,69001,0.0,43.48,0.0,0.0,0.0,2,apartment,42.0,2,none,no_special,0.0
2017-07-21,538000.0,69005,0.0,121.08,0.0,0.0,0.0,2,apartment,125.0,4,none,no_special,0.0
2017-07-19,338932.0,69002,88.84,0.0,0.0,0.0,0.0,1,apartment,88.0,4,none,no_special,0.0
2017-07-18,480000.0,69005,115.96,0.0,0.0,0.0,0.0,1,house,100.0,4,none,no_special,0.0
2017-07-13,215000.0,69009,74.6,0.0,0.0,0.0,0.0,1,apartment,74.0,3,none,no_special,0.0
2017-07-07,407000.0,69004,0.0,0.0,0.0,0.0,0.0,2,apartment,57.0,1,none,no_special,0.0
2017-07-07,407000.0,69004,0.0,0.0,0.0,0.0,0.0,2,apartment,35.0,1,none,no_special,0.0
2017-07-17,342700.0,69004,78.2,0.0,0.0,0.0,0.0,1,apartment,81.0,3,none,no_special,0.0
2017-07-13,288950.0,69009,84.96,0.0,0.0,0.0,0.0,1,apartment,68.0,3,none,no_special,0.0
2017-07-12,290000.0,69005,0.0,0.0,0.0,0.0,0.0,2,apartment,97.0,4,none,no_special,0.0
2017-07-10,300000.0,69002,0.0,0.0,0.0,0.0,0.0,4,apartment,98.0,4,none,no_special,0.0
2017-07-24,220500.0,69009,76.36,0.0,0.0,0.0,0.0,2,apartment,73.0,3,none,no_special,0.0
2017-07-10,326500.0,69009,93.32,0.0,0.0,0.0,0.0,1,apartment,93.0,4,none,no_special,0.0
2017-07-19,310000.0,69004,34.0,0.0,0.0,0.0,0.0,1,apartment,34.0,2,none,no_special,0.0
2017-07-19,310000.0,69004,47.15,0.0,0.0,0.0,0.0,1,apartment,47.0,3,none,no_special,0.0
2017-07-10,585100.0,69004,0.0,0.0,0.0,0.0,0.0,3,apartment,198.0,5,none,no_special,0.0
2017-07-04,238000.0,69001,44.87,0.0,0.0,0.0,0.0,1,apartment,45.0,1,none,no_special,0.0
2017-07-04,210000.0,69001,0.0,0.0,0.0,0.0,0.0,1,apartment,75.0,3,none,no_special,0.0
2017-07-21,250000.0,69009,0.0,0.0,0.0,0.0,0.0,1,apartment,70.0,3,none,no_special,0.0
2017-07-19,520000.0,69002,0.0,89.81,0.0,0.0,0.0,3,apartment,90.0,3,none,no_special,0.0
2017-07-12,268000.0,69002,58.57,0.0,0.0,0.0,0.0,1,apartment,57.0,2,none,no_special,0.0
2017-07-19,270000.0,69001,68.49,0.0,0.0,0.0,0.0,1,apartment,68.0,3,none,no_special,0.0
2017-07-19,187200.0,69009,0.0,48.04,0.0,0.0,0.0,2,apartment,48.0,2,none,no_special,0.0
2017-07-19,358000.0,69005,76.1,0.0,0.0,0.0,0.0,1,apartment,88.0,3,none,no_special,0.0
2017-07-18,558100.0,69005,0.0,0.0,0.0,0.0,0.0,0,house,162.0,5,ground,no_special,348.0
2017-07-07,606000.0,69001,115.72,115.72,0.0,0.0,0.0,2,apartment,120.0,4,none,no_special,0.0
2017-07-04,159010.0,69009,46.07,0.0,0.0,0.0,0.0,2,apartment,45.0,2,none,no_special,0.0
2017-07-20,340000.0,69001,92.27,0.0,0.0,0.0,0.0,1,apartment,77.0,4,none,no_special,0.0
2017-07-12,169894.0,69009,0.0,0.0,0.0,0.0,0.0,1,apartment,36.0,2,none,no_special,0.0
2017-07-12,332400.0,69001,0.0,0.0,0.0,0.0,0.0,2,apartment,72.0,3,none,no_special,0.0
2017-07-18,531900.0,69001,0.0,0.0,0.0,0.0,0.0,2,apartment,78.0,3,none,no_special,0.0
2017-07-20,294850.0,69005,62.57,0.0,0.0,0.0,0.0,1,apartment,68.0,3,none,no_special,0.0
2017-07-07,200000.0,69001,53.49,0.0,0.0,0.0,0.0,2,apartment,35.0,1,none,no_special,0.0
2017-07-20,304555.0,69001,0.0,0.0,0.0,0.0,0.0,4,apartment,64.0,2,none,no_special,0.0
2017-07-06,368000.0,69004,0.0,0.0,0.0,0.0,0.0,1,apartment,66.0,3,none,no_special,0.0
2017-07-07,153000.0,69005,0.0,46.45,0.0,0.0,0.0,2,apartment,46.0,2,none,no_special,0.0
2017-07-19,118103.0,69009,25.86,0.0,0.0,0.0,0.0,1,apartment,25.0,1,none,no_special,0.0
2017-07-24,253780.0,69009,85.88,0.0,0.0,0.0,0.0,2,apartment,85.0,4,none,no_special,0.0
2017-07-24,442000.0,69002,0.0,0.0,0.0,0.0,0.0,1,apartment,74.0,2,none,no_special,0.0
2017-07-24,200000.0,69002,0.0,0.0,0.0,0.0,0.0,1,apartment,47.0,2,none,no_special,0.0
2017-07-11,165000.0,69002,47.78,0.0,0.0,0.0,0.0,1,apartment,45.0,2,none,no_special,0.0
2017-07-11,165000.0,69002,0.0,0.0,0.0,0.0,0.0,1,apartment,61.0,3,none,no_special,0.0
2017-07-12,180000.0,69005,0.0,74.39,0.0,0.0,0.0,2,apartment,75.0,4,none,no_special,0.0
2017-07-11,134800.0,69009,0.0,75.26,0.0,0.0,0.0,2,apartment,68.0,4,none,no_special,0.0
2017-07-26,191900.0,69009,67.92,0.0,0.0,0.0,0.0,1,apartment,68.0,3,none,no_special,0.0
2017-07-24,197000.0,69004,60.16,0.0,0.0,0.0,0.0,2,apartment,71.0,3,none,no_special,0.0
2017-07-21,390000.0,69004,0.0,86.55,0.0,0.0,0.0,2,apartment,87.0,4,none,no_special,0.0
2017-07-24,324900.0,69009,85.52,0.0,0.0,0.0,0.0,1,apartment,85.0,4,none,no_special,0.0
2017-07-17,167980.0,69009,0.0,69.66,0.0,0.0,0.0,2,apartment,68.0,4,none,no_special,0.0
2017-07-25,164378.0,69005,0.0,0.0,0.0,0.0,0.0,2,apartment,115.0,3,none,no_special,0.0
2017-07-10,222480.0,69009,0.0,75.24,0.0,0.0,0.0,2,apartment,75.0,3,none,no_special,0.0
2017-07-20,319050.0,69004,0.0,0.0,0.0,0.0,0.0,3,apartment,68.0,3,none,no_special,0.0
2017-07-07,186500.0,69009,43.7,0.0,0.0,0.0,0.0,1,apartment,43.0,1,none,no_special,0.0
2017-07-10,281200.0,69004,0.0,78.78,0.0,0.0,0.0,2,apartment,80.0,4,none,no_special,0.0
2017-07-17,294000.0,69009,0.0,0.0,0.0,0.0,0.0,3,apartment,118.0,4,none,no_special,0.0
2017-07-18,931200.0,69001,0.0,0.0,0.0,0.0,0.0,1,apartment,191.0,6,none,no_special,0.0
2017-07-03,130000.0,69001,31.11,0.0,0.0,0.0,0.0,1,apartment,33.0,1,none,no_special,0.0
2017-07-21,167000.0,69005,0.0,43.81,0.0,0.0,0.0,2,apartment,50.0,2,none,no_special,0.0
2017-07-26,173000.0,69009,0.0,0.0,0.0,0.0,0.0,1,apartment,61.0,3,none,no_special,0.0
2017-07-18,546700.0,69002,99.13,0.0,0.0,0.0,0.0,3,apartment,93.0,3,none,no_special,0.0
2017-07-26,212000.0,69009,0.0,0.0,0.0,0.0,0.0,1,apartment,62.0,3,none,no_special,0.0
2017-07-18,249550.0,69002,0.0,43.22,0.0,0.0,0.0,2,apartment,44.0,2,none,no_special,0.0
2017-07-17,210000.0,69009,0.0,75.77,0.0,0.0,0.0,2,apartment,75.0,3,none,no_special,0.0
2017-07-26,525000.0,69002,0.0,0.0,0.0,0.0,0.0,2,apartment,78.0,2,none,no_special,0.0
2017-07-26,525000.0,69002,135.46,0.0,0.0,0.0,0.0,3,apartment,59.0,2,none,no_special,0.0
